" Bob Bell",2016,LA06,2943,0," R",1928139
" Chellie Pingree",2016,ME01,609680,58," D",712908
" Mark Holbrook",2016,ME01,103228,42," R",712908
" Bruce Poliquin",2016,ME02,3385351,54.8," R",6860670
" Emily Cain",2016,ME02,3475319,45.2," D",6860670
" Andy Harris",2016,MD01,1290564,67," R",1290564
" Dutch Ruppersberger",2016,MD02,1135835,62.1," D",1377414
" Pat McDonough",2016,MD02,241579,33.1," R",1377414
" John Sarbanes",2016,MD03,946821,63.2," D",1549770
" Mark Plaster",2016,MD03,602949,33.9," R",1549770
" Anthony Brown",2016,MD04,1365089,0," D",1365089
" Steny H Hoyer",2016,MD05,3721894,0," D",3774448
" Mark Arness",2016,MD05,52554,29.4," R",3774448
" John K Delaney",2016,MD06,1951728,0," D",3124654
" Amie Hoeber",2016,MD06,1172926,40.1," R",3124654
" Elijah E Cummings",2016,MD07,1056238,0," D",1056238
" Jamie Raskin",2016,MD08,2544562,60.6," D",2634099
" Dan Cox",2016,MD08,74604,34.2," R",2634099
" Nancy Wallace",2016,MD08,14933,0," 3",2634099
" Richard E Neal",2016,MA01,1791836,0," D",1809686
" Thomas T Simmons",2016,MA01,17850,0," L",1809686
" James P McGovern",2016,MA02,928775,0," D",928775
" Niki Tsongas",2016,MA03,1200582,68.7," D",1241609
" Ann Wofford",2016,MA03,41027,31.2," R",1241609
" Joe Kennedy III",2016,MA04,3131066,0," D",3145525
" David Rosa",2016,MA04,14459,29.8," R",3145525
" Katherine Clark",2016,MA05,1313286,98.6," D",1313286
" Seth Moulton",2016,MA06,2595540,98.4," D",2595540
" Michael E Capuano",2016,MA07,753709,0," D",753709
" Stephen F Lynch",2016,MA08,1210584,0," D",1257975
" Bill Burke",2016,MA08,47391,0," R",1257975
" Bill Keating",2016,MA09,1199693,55.7," D",1533563
" Mark C Alliegro",2016,MA09,262025,0," R",1533563
" Paul J. Harrington",2016,MA09,63438,0," I",1533563
" Chris Cataldo",2016,MA09,8407,0," 3",1533563
" Lon Johnson",2016,MI01,2043201,40.1," D",3411639
" John Bergman",2016,MI01,1361864,0," R",3411639
" Diane Evelyn Bostow",2016,MI01,6574,0," L",3411639
" Bill Huizenga",2016,MI02,1193988,62.6," R",1209634
" Dennis B Murphy",2016,MI02,15646,0," D",1209634
" Justin Amash",2016,MI03,674288,59.5," R",704473
" Douglas Smith",2016,MI03,30185,37.5," D",704473
" John Moolenaar",2016,MI04,1050896,61.6," R",1050896
" Dan Kildee",2016,MI05,1087656,61.2," D",1087656
" Fred Upton",2016,MI06,2935518,58.7," R",4087498
" Paul Colin Clements",2016,MI06,1151980,0," D",4087498
" Tim Walberg",2016,MI07,2403861,55," R",4958349
" Gretchen Driskell",2016,MI07,2554488,40," D",4958349
" Mike Bishop",2016,MI08,1639970,56," R",2354251
" Melissa Gilbert",2016,MI08,714281,0," D",2354251
" Sander Levin",2016,MI09,1293278,57.9," D",1293278
" Paul Mitchell",2016,MI10,3979358,63.1," R",4027784
" Frank Accavitti Jr.",2016,MI10,48426,32.3," D",4027784
" Dave Trott",2016,MI11,1313731,52.9," R",2476467
" Anil Kumar",2016,MI11,1116535,40.2," D",2476467
" Kerry Bentivolio",2016,MI11,46201,0," I",2476467
" Debbie Dingell",2016,MI12,1173477,64.3," D",1215227
" Jeff Jones",2016,MI12,40861,29.3," R",1215227
" Tom Bagwell",2016,MI12,889,0," L",1215227
" John Conyers Jr.",2016,MI13,605324,0," D",605324
" Brenda Lawrence",2016,MI14,853134,78.5," D",853134
" Tim Walz",2016,MN01,1547890,50.3," D",1902094
" Jim Hagedorn",2016,MN01,354204,49.6," R",1902094
" Angie Craig",2016,MN02,4025326,45.2," D",5055811
" Jason Lewis",2016,MN02,1030485,47," R",5055811
" Erik Paulsen",2016,MN03,4939819,56.7," R",6910688
" Terri Bonoff",2016,MN03,1970869,43," D",6910688
" Betty McCollum",2016,MN04,915558,57.8," D",966851
" Greg Ryan",2016,MN04,51293,34.4," R",966851
" Keith Ellison",2016,MN05,2784931,69.1," D",2784931
" Tom Emmer",2016,MN06,1837927,65.6," R",1837927
" Collin Peterson",2016,MN07,1201913,52.5," D",1235400
" Dave Hughes",2016,MN07,19836,47.4," R",1235400
" Kevin Winge",2016,MN07,13651,0," 3",1235400
" Rick Nolan",2016,MN08,3029107,50.2," D",6607492
" Stewart Mills",2016,MN08,3578385,49.6," R",6607492
" Trent Kelly",2016,MS01,1053947,68.7," R",1053947
" Bennie G Thompson",2016,MS02,1029092,0," D",1029092
" Gregg Harper",2016,MS03,1007225,66.2," R",1007225
" Steven Palazzo",2016,MS04,778901,65," R",839978
" Mark Gladney",2016,MS04,61077,27.8," D",839978
" William L Clay Jr.",2016,MO01,656037,0," D",656037
" Ann L Wagner",2016,MO02,2313941,0," R",2775278
" Bill Otto",2016,MO02,461337,37.7," D",2775278
" Blaine Luetkemeyer",2016,MO03,1885992,67.8," R",1888655
" Doanita Simmons",2016,MO03,2663,0," 3",1888655
" Vicky Hartzler",2016,MO04,928063,67.8," R",1145075
" Gordon Christensen",2016,MO04,217012,27.8," D",1145075
" Emanuel Cleaver",2016,MO05,1141295,58.8," D",1265045
" Jacob Turk",2016,MO05,123750,38.2," R",1265045
" Sam Graves",2016,MO06,1521611,68," R",1521611
" Billy Long",2016,MO07,1460939,67.5," R",1481503
